n_features,features,AUC,Accuracy,Rules
2,"ienfd_per_mm_high,nis_ll_high",0.784313725490196,0.6571428571428571,"|--- nis_ll_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 1
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
"
3,"ienfd_per_mm_high,nis_ll_high,age_high",0.784313725490196,0.6571428571428571,"|--- nis_ll_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 1
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
"
3,"ienfd_per_mm_high,nis_ll_high,duration_months_high",0.784313725490196,0.6571428571428571,"|--- nis_ll_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 1
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
"
3,"ienfd_per_mm_high,age_high,duration_months_high",0.7745098039215685,0.7428571428571429,"|--- duration_months_high <= 0.50
|   |--- age_high <= 0.50
|   |   |--- class: 0
|   |--- age_high >  0.50
|   |   |--- class: 1
|--- duration_months_high >  0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 1
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
"
3,"ienfd_per_mm_high,nis_ll_high,sex_high",0.7647058823529411,0.7714285714285715,"|--- nis_ll_high <= 0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 0
|   |--- sex_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 1
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
"
3,"npsi_high,ienfd_per_mm_high,age_high",0.7516339869281045,0.7714285714285715,"|--- npsi_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
2,"npsi_high,ienfd_per_mm_high",0.7516339869281045,0.7714285714285715,"|--- npsi_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
3,"nis_ll_high,sex_high,duration_months_high",0.7352941176470588,0.7714285714285715,"|--- nis_ll_high <= 0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 0
|   |--- sex_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 1
|   |--- sex_high >  0.50
|   |   |--- class: 1
"
2,"nis_ll_high,sex_high",0.7254901960784313,0.7714285714285715,"|--- nis_ll_high <= 0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 0
|   |--- sex_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 1
|   |--- sex_high >  0.50
|   |   |--- class: 1
"
3,"nis_ll_high,age_high,sex_high",0.7254901960784313,0.7714285714285715,"|--- nis_ll_high <= 0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 0
|   |--- sex_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 1
|   |--- sex_high >  0.50
|   |   |--- class: 1
"
3,"npsi_high,ienfd_per_mm_high,duration_months_high",0.7140522875816994,0.7428571428571429,"|--- npsi_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
2,"npsi_high,sex_high",0.7091503267973855,0.4857142857142857,"|--- npsi_high <= 0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 0
|   |--- sex_high >  0.50
|   |   |--- class: 0
|--- npsi_high >  0.50
|   |--- class: 1
"
3,"npsi_high,age_high,sex_high",0.7091503267973855,0.4857142857142857,"|--- npsi_high <= 0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 0
|   |--- sex_high >  0.50
|   |   |--- class: 0
|--- npsi_high >  0.50
|   |--- class: 1
"
3,"npsi_high,ienfd_per_mm_high,nis_ll_high",0.696078431372549,0.6285714285714286,"|--- npsi_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
3,"npsi_high,sex_high,duration_months_high",0.6944444444444444,0.4857142857142857,"|--- npsi_high <= 0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 0
|   |--- sex_high >  0.50
|   |   |--- class: 0
|--- npsi_high >  0.50
|   |--- class: 1
"
3,"npsi_high,ienfd_per_mm_high,sex_high",0.6764705882352942,0.6285714285714286,"|--- npsi_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
2,"npsi_high,age_high",0.6568627450980392,0.7428571428571429,"|--- npsi_high <= 0.50
|   |--- age_high <= 0.50
|   |   |--- class: 0
|   |--- age_high >  0.50
|   |   |--- class: 0
|--- npsi_high >  0.50
|   |--- class: 1
"
3,"npsi_high,nis_ll_high,age_high",0.6405228758169934,0.7714285714285715,"|--- npsi_high <= 0.50
|   |--- nis_ll_high <= 0.50
|   |   |--- class: 0
|   |--- nis_ll_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
2,"ienfd_per_mm_high,age_high",0.6405228758169934,0.6,"|--- age_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
|--- age_high >  0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 1
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 0
"
2,"npsi_high,nis_ll_high",0.6405228758169934,0.7714285714285715,"|--- npsi_high <= 0.50
|   |--- nis_ll_high <= 0.50
|   |   |--- class: 0
|   |--- nis_ll_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
3,"nis_ll_high,age_high,duration_months_high",0.6143790849673202,0.7714285714285715,"|--- nis_ll_high <= 0.50
|   |--- duration_months_high <= 0.50
|   |   |--- class: 0
|   |--- duration_months_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- duration_months_high <= 0.50
|   |   |--- class: 1
|   |--- duration_months_high >  0.50
|   |   |--- class: 1
"
3,"npsi_high,nis_ll_high,duration_months_high",0.6143790849673202,0.7428571428571429,"|--- npsi_high <= 0.50
|   |--- nis_ll_high <= 0.50
|   |   |--- class: 0
|   |--- nis_ll_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
2,"nis_ll_high,duration_months_high",0.6143790849673202,0.7714285714285715,"|--- nis_ll_high <= 0.50
|   |--- duration_months_high <= 0.50
|   |   |--- class: 0
|   |--- duration_months_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- duration_months_high <= 0.50
|   |   |--- class: 1
|   |--- duration_months_high >  0.50
|   |   |--- class: 1
"
2,"age_high,sex_high",0.6013071895424836,0.5714285714285714,"|--- sex_high <= 0.50
|   |--- age_high <= 0.50
|   |   |--- class: 0
|   |--- age_high >  0.50
|   |   |--- class: 0
|--- sex_high >  0.50
|   |--- age_high <= 0.50
|   |   |--- class: 0
|   |--- age_high >  0.50
|   |   |--- class: 1
"
2,"npsi_high,duration_months_high",0.5898692810457516,0.7714285714285715,"|--- npsi_high <= 0.50
|   |--- duration_months_high <= 0.50
|   |   |--- class: 0
|   |--- duration_months_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
3,"npsi_high,age_high,duration_months_high",0.5898692810457516,0.7714285714285715,"|--- npsi_high <= 0.50
|   |--- duration_months_high <= 0.50
|   |   |--- class: 0
|   |--- duration_months_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
1,nis_ll_high,0.588235294117647,0.7714285714285715,"|--- nis_ll_high <= 0.50
|   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- class: 1
"
2,"nis_ll_high,age_high",0.588235294117647,0.7714285714285715,"|--- nis_ll_high <= 0.50
|   |--- age_high <= 0.50
|   |   |--- class: 0
|   |--- age_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- class: 1
"
2,"ienfd_per_mm_high,sex_high",0.565359477124183,0.6857142857142857,"|--- sex_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 0
|--- sex_high >  0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 1
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
"
2,"sex_high,duration_months_high",0.522875816993464,0.6857142857142857,"|--- sex_high <= 0.50
|   |--- class: 0
|--- sex_high >  0.50
|   |--- duration_months_high <= 0.50
|   |   |--- class: 1
|   |--- duration_months_high >  0.50
|   |   |--- class: 1
"
3,"npsi_high,nis_ll_high,sex_high",0.522875816993464,0.42857142857142855,"|--- npsi_high <= 0.50
|   |--- nis_ll_high <= 0.50
|   |   |--- class: 0
|   |--- nis_ll_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
1,npsi_high,0.5,0.7428571428571429,"|--- npsi_high <= 0.50
|   |--- class: 0
|--- npsi_high >  0.50
|   |--- class: 1
"
3,"age_high,sex_high,duration_months_high",0.4836601307189542,0.5714285714285714,"|--- sex_high <= 0.50
|   |--- age_high <= 0.50
|   |   |--- class: 0
|   |--- age_high >  0.50
|   |   |--- class: 0
|--- sex_high >  0.50
|   |--- age_high <= 0.50
|   |   |--- class: 0
|   |--- age_high >  0.50
|   |   |--- class: 1
"
3,"ienfd_per_mm_high,age_high,sex_high",0.4771241830065359,0.5714285714285714,"|--- sex_high <= 0.50
|   |--- age_high <= 0.50
|   |   |--- class: 0
|   |--- age_high >  0.50
|   |   |--- class: 0
|--- sex_high >  0.50
|   |--- age_high <= 0.50
|   |   |--- class: 0
|   |--- age_high >  0.50
|   |   |--- class: 1
"
2,"age_high,duration_months_high",0.47058823529411764,0.6285714285714286,"|--- duration_months_high <= 0.50
|   |--- age_high <= 0.50
|   |   |--- class: 0
|   |--- age_high >  0.50
|   |   |--- class: 1
|--- duration_months_high >  0.50
|   |--- class: 1
"
3,"ienfd_per_mm_high,sex_high,duration_months_high",0.46078431372549017,0.6857142857142857,"|--- sex_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 0
|--- sex_high >  0.50
|   |--- duration_months_high <= 0.50
|   |   |--- class: 1
|   |--- duration_months_high >  0.50
|   |   |--- class: 1
"
2,"ienfd_per_mm_high,duration_months_high",0.4575163398692811,0.42857142857142855,"|--- duration_months_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 0
|--- duration_months_high >  0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 1
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
"
1,sex_high,0.4183006535947712,0.6857142857142857,"|--- sex_high <= 0.50
|   |--- class: 0
|--- sex_high >  0.50
|   |--- class: 1
"
1,age_high,0.3660130718954248,0.6285714285714286,"|--- age_high <= 0.50
|   |--- class: 0
|--- age_high >  0.50
|   |--- class: 1
"
1,ienfd_per_mm_high,0.28758169934640515,0.22857142857142856,"|--- ienfd_per_mm_high <= 0.50
|   |--- class: 0
|--- ienfd_per_mm_high >  0.50
|   |--- class: 1
"
1,duration_months_high,0.26143790849673204,0.6,"|--- duration_months_high <= 0.50
|   |--- class: 0
|--- duration_months_high >  0.50
|   |--- class: 1
"
